Unnamed: 0,admin0,admin1,admin2,admin3,id,date,cases,excess_deaths,expected_deaths,movement_fb,non_moving_fb,grocery_pharmacy_mobility,parks_mobility,workplaces_mobility,residential_mobility,retail_recreation_mobility,transit_mobility,accessibility,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,incidence,num_policies,household_confinement,H8_Protection of elderly people,H8_Flag,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,Date,ID,T,Tmax,Tmin,Td,Tdd,RH,SH,SM1,SM2,SM3,SM4,SP,SR,LH,PE,P,U,V,Source
80,Ecuador,Azuay,,,ECA,2020-05-23,11,0.65,10.85,-0.49994888888888894,0.361212222222222,,,,,,,100.1199289,89.88943481445308,859882.375,80962.0703125,0.09415482,-79.15422099999999,-3.0141335,100.11993000000001,54.337708,206.51924,1.2792447339091002,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECA,13.8623779296875,17.7969177246094,10.502926635742199,10.5726470947266,3.28973083496095,80.5358625918972,0.0106694484663318,0.365773183107376,0.38265784680843395,0.39946373105049104,0.4149043828248979,74335.28984375,952414.55,-198866.5875,-9.39502013352467e-05,3.3013534426572697,-1.37591200768948,0.254284654930234,ERA5
382,Ecuador,Bolivar,,,ECB,2020-05-23,6,1.51666666666667,2.15,-0.497596,0.40639200000000003,,,,,,,84.9061884977,43.844322204589794,200280.859375,29143.26171875,0.14551197,-79.106895,-1.5872494,84.915352,39.724289,158.13846,2.99579301722776,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECB,16.3334655761719,20.3978088378906,12.763067626953198,13.906988525390698,2.4264770507812203,85.5475674075967,0.0122371007972407,0.4207759141922,0.425399649143219,0.41737761497497605,0.44377602934837296,80710.79375,1145012.2625,-249742.640625,-0.000101479813747574,4.97165009146556,-0.15026846528053303,0.219572338461876,ERA5
684,Ecuador,Canar,,,ECF,2020-05-23,4,2.65,2.45,-0.45573,0.338048,,,,,,,105.34779260799999,65.6321182250977,256096.53125,26623.02734375,0.103957,-79.030403,-2.5324162999999995,105.33863999999998,52.566227000000005,207.83311,1.5619110420887399,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECF,15.911538696289101,19.526872253418,12.566117858886699,13.509767150878902,2.4017715454101602,85.6416218447969,0.012067954798020001,0.436622500419617,0.44064591079950294,0.4432263746857639,0.46396582573652295,79754.703125,1149582.28125,-252108.14453125,-0.000103902284536161,3.7417363782879,-0.605377994477749,0.573823666200042,ERA5
986,Ecuador,Carchi,,,ECC,2020-05-23,1,-0.05,1.75,-0.5551159999999999,0.387946,,,,,,,184.20329277,44.6434555053711,187547.15625,19132.330078125,0.10201344,-78.064018,0.75172871,184.2525,135.43462,252.66905,0.533199233726051,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECC,16.5376403808594,20.8798400878907,12.9002685546875,14.356475830078098,2.18116455078126,86.93913986406059,0.0127452568588399,0.40447987318038897,0.409373986721039,0.396252182126045,0.416147398948669,79784.2609375,1146051.4625,-255362.74375,-0.00010333390528103299,28.3404956455342,-0.536387848854065,0.24104552268981896,ERA5
1288,Ecuador,Chimborazo,,,ECH,2020-05-23,6,4.2,6.33333333333333,-0.574985714285714,0.364555714285714,,,,,,,111.15523747600001,69.01516723632811,530381.5625,56497.9140625,0.10652315,-78.72075699999999,-1.9750051,111.15912,85.209709,285.41687,1.13126104378864,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECH,10.87119140625,15.2440643310547,6.79974975585941,8.17041320800786,2.70077819824218,83.4001612141155,0.00968171753927967,0.37658497691154497,0.38656359314918504,0.3933133393526079,0.40223848819732705,69691.64453125,1292736.4875,-268864.2828125,-0.00010568171855993599,11.2074723409023,-1.5699080385267699,-0.163404116779566,ERA5
1590,Ecuador,Cotopaxi,,,ECX,2020-05-23,16,0.5333333333333329,4.86666666666667,-0.540123333333333,0.3866533333333329,,,,,,,91.6319944598,67.5944137573242,487626.09375,45938.33203125,0.094208106,-78.856461,-0.85798764,91.617699,66.07164,259.64801,3.2812025863822996,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECX,13.7697235107422,17.879052734375,10.258504486084,11.3164344787598,2.4532890319824197,85.1278739527826,0.0111549215426768,0.391057256609201,0.40610837563872293,0.41640429198741896,0.427012912929058,74703.2265625,1132394.1640625,-243550.541015625,-9.95056043393561e-05,3.5517643991624905,-1.00668124388903,0.5860066134482621,ERA5
1892,Ecuador,El Oro,,,ECO,2020-05-23,13,14.183333333333302,7.61666666666667,-0.513598,0.485363,,,,,,,-141.89918533600002,101.74530029296899,698379.75,53104.109375,0.076039016,-79.832512,-3.509433,61.536156000000005,41.18037,165.44841,1.86145145245119,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECO,20.6479736328125,23.9341805594308,17.902389962332602,18.4356018066406,2.21237182617188,87.14655921933641,0.0147139312133889,0.35221647790500105,0.360768382038389,0.370573878288269,0.40412673779896296,89618.0770089286,1246305.64285714,-295052.258928571,-0.00012664731392370801,5.311842658557,0.383388595921653,-0.230646846549852,ERA5
2194,Ecuador,Esmeraldas,,,ECE,2020-05-23,22,1.45,4.65,-0.4581271428571429,0.48348428571428603,,,,,,,145.89499026200002,33.3674278259277,615729.125,38880.234375,0.063145034,-79.22177099999999,0.70542401,324.64417000000003,206.86523,484.21762,3.5729997342581403,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECE,25.3429424085115,28.587658048930997,22.8416735197368,23.058735415810105,2.28420699270146,87.18439555615579,0.0178384052925057,0.42170196928476,0.425531330861543,0.42063038913827205,0.43754674729548,98288.9728618421,1009722.49013158,-315630.566611842,-0.000114157243316233,8.1777912380762,1.3164721868540101,0.7934368131192109,ERA5
2496,Ecuador,Galapagos,,,ECW,2020-05-23,0,-0.0333333333333333,0.133333333333333,-0.39125,0.362535,,,,,,,3374.89205093,3.5837006568908705,33461.015625,1802.37023925781,0.053864780999999994,-90.899963,-0.54820687,3704.7744,300.97418,1137.8541,0.0,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECW,23.7856689453125,25.5666198730469,22.4081726074219,20.0861267089844,3.69954223632811,79.7769220730709,0.0147022263090687,0.0682617112994194,0.142843014001846,0.163137909770012,0.146518620848656,99405.890625,1890335.425,-222439.7,-7.19247751135299e-08,0.303955348499585,-1.4760453939437899,3.0027685642242403,ERA5
2798,Ecuador,Guayas,,,ECG,2020-05-23,54,340.816666666667,59.3166666666667,-0.438551818181818,0.434874090909091,,,,,,,-115.871533398,238.324615478516,4400425.5,309620.78125,0.070361555,-79.888664,-2.1174173,67.71204399999999,44.55019,195.21767,1.22715405589755,0,NOT_IMPLEMENTED,2,1.0,36258.0,3096.0,86.11,73.96,73.81,75.0,2020-05-23,ECG,24.691862071644202,28.1396659157493,22.009344759854397,21.112929742986502,3.5789323286576895,80.4940984644548,0.0156437542879062,0.380832386287776,0.390495617958632,0.396829584782774,0.421679815785451,99532.66477272731,1188318.50284091,-328945.895596591,-0.000136085452719602,3.10703280417163,0.9925061981617049,0.947494836016135,ERA5
