Unnamed: 0,admin0,admin1,admin2,admin3,id,date,cases,excess_deaths,expected_deaths,movement_fb,non_moving_fb,grocery_pharmacy_mobility,parks_mobility,workplaces_mobility,residential_mobility,retail_recreation_mobility,transit_mobility,accessibility,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,incidence,num_policies,household_confinement,H8_Protection of elderly people,H8_Flag,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,Date,ID,T,Tmax,Tmin,Td,Tdd,RH,SH,SM1,SM2,SM3,SM4,SP,SR,LH,PE,P,U,V,Source
235,Ecuador,Azuay,,,ECA,2020-10-25,68,0.3833333333333329,10.8833333333333,-0.0674877777777778,0.240298888888889,,,,,,,100.1199289,89.88943481445308,859882.375,80962.0703125,0.09415482,-79.15422099999999,-3.0141335,100.11993000000001,54.337708,206.51924,7.9080583550744405,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECA,,,,,,,,,,,,,,,,,,,
537,Ecuador,Bolivar,,,ECB,2020-10-25,10,0.3666666666666671,2.6,-0.10128999999999999,0.250332,,,,,,,84.9061884977,43.844322204589794,200280.859375,29143.26171875,0.14551197,-79.106895,-1.5872494,84.915352,39.724289,158.13846,4.99298836204627,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECB,,,,,,,,,,,,,,,,,,,
839,Ecuador,Canar,,,ECF,2020-10-25,19,-0.116666666666667,3.05,-0.029522000000000003,0.21033400000000002,,,,,,,105.34779260799999,65.6321182250977,256096.53125,26623.02734375,0.103957,-79.030403,-2.5324162999999995,105.33863999999998,52.566227000000005,207.83311,7.419077449921531,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECF,,,,,,,,,,,,,,,,,,,
1141,Ecuador,Carchi,,,ECC,2020-10-25,25,0.35,1.8833333333333302,-0.100458,0.24301599999999998,,,,,,,184.20329277,44.6434555053711,187547.15625,19132.330078125,0.10201344,-78.064018,0.75172871,184.2525,135.43462,252.66905,13.3299808431513,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECC,,,,,,,,,,,,,,,,,,,
1443,Ecuador,Chimborazo,,,ECH,2020-10-25,12,2.8333333333333304,5.9,-0.0679433333333333,0.21021333333333303,,,,,,,111.15523747600001,69.01516723632811,530381.5625,56497.9140625,0.10652315,-78.72075699999999,-1.9750051,111.15912,85.209709,285.41687,2.26252208757728,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECH,,,,,,,,,,,,,,,,,,,
1745,Ecuador,Cotopaxi,,,ECX,2020-10-25,32,3.7,5.0333333333333306,-0.093035,0.22014333333333302,,,,,,,91.6319944598,67.5944137573242,487626.09375,45938.33203125,0.094208106,-78.856461,-0.85798764,91.617699,66.07164,259.64801,6.56240517276461,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECX,,,,,,,,,,,,,,,,,,,
2047,Ecuador,El Oro,,,ECO,2020-10-25,42,7.05,7.11666666666667,-0.0954588888888889,0.302443333333333,,,,,,,-141.89918533600002,101.74530029296899,698379.75,53104.109375,0.076039016,-79.832512,-3.509433,61.536156000000005,41.18037,165.44841,6.013920077150001,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECO,,,,,,,,,,,,,,,,,,,
2349,Ecuador,Esmeraldas,,,ECE,2020-10-25,15,2.85,4.2166666666666694,0.0613342857142857,0.30253142857142895,,,,,,,145.89499026200002,33.3674278259277,615729.125,38880.234375,0.063145034,-79.22177099999999,0.70542401,324.64417000000003,206.86523,484.21762,2.4361361824487404,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECE,,,,,,,,,,,,,,,,,,,
2651,Ecuador,Galapagos,,,ECW,2020-10-25,3,0.133333333333333,0.1,-0.23169,0.21635,,,,,,,3374.89205093,3.5837006568908705,33461.015625,1802.37023925781,0.053864780999999994,-90.899963,-0.54820687,3704.7744,300.97418,1137.8541,8.965657329775091,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECW,,,,,,,,,,,,,,,,,,,
2953,Ecuador,Guayas,,,ECG,2020-10-25,117,3.9833333333333303,54.2833333333333,-0.0243922727272727,0.275575,,,,,,,-115.871533398,238.324615478516,4400425.5,309620.78125,0.070361555,-79.888664,-2.1174173,67.71204399999999,44.55019,195.21767,2.6588337877780197,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECG,,,,,,,,,,,,,,,,,,,
3255,Ecuador,Imbabura,,,ECI,2020-10-25,25,1.23333333333333,5.6,-0.07506499999999999,0.23806166666666698,,,,,,,164.492395777,84.9007034301758,474849.65625,47945.8515625,0.10097060000000001,-78.37088,0.40535682,164.3226,100.35618000000001,321.7785,5.26482428089575,0,NOT_IMPLEMENTED,2,1.0,161635.0,12553.0,52.78,55.21,52.38,75.0,2020-10-25,ECI,,,,,,,,,,,,,,,,,,,
