id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
PEAMA010109,Peru,Amazonas,Chachapoyas,La Jalca,2021-04-27,0.0,,,33.50017548,4991.525879,420.1200256,0.08416665300000001,-77.78440094,-6.503596306,154.2896576,87.32990265,478.1793213,75.93,70.42,73.33,50.0
PEAMA010110,Peru,Amazonas,Chachapoyas,Leimebamba,2021-04-27,0.0,,,6.94344902,3138.438965,263.2581177,0.08388187,-77.79870605,-6.808899879,218.8464966,101.8693085,572.2390137,75.93,70.42,73.33,50.0
PEAMA010111,Peru,Amazonas,Chachapoyas,Levanto,2021-04-27,0.0,,,7.625562668,686.3006592,57.86565018,0.08431530699999999,-77.86454773,-6.314297676,151.84269709999995,58.33316422,170.382019,75.93,70.42,73.33,50.0
PEAMA010112,Peru,Amazonas,Chachapoyas,Magdalena,2021-04-27,0.0,,,5.015280724,782.3837891,66.63256836,0.085166089,-77.82381439,-6.420564175,136.80128480000002,88.47528076,351.3782043,75.93,70.42,73.33,50.0
PEAMA010113,Peru,Amazonas,Chachapoyas,Mariscal Castilla,2021-04-27,0.0,,,9.288155556,845.222168,71.39569092,0.08446973599999999,-77.76999664,-6.578907012999999,174.1828003,132.4507294,596.7849731000001,75.93,70.42,73.33,50.0
PEAMA010114,Peru,Amazonas,Chachapoyas,Molinopampa,2021-04-27,0.0,,,6.50180769,2613.726807,222.6134338,0.08517088699999999,-77.60726166,-6.212436199,290.8771362,179.12863159999995,414.4226074,75.93,70.42,73.33,50.0
PEAMA010115,Peru,Amazonas,Chachapoyas,Montevideo,2021-04-27,0.0,,,4.6150684360000005,659.9547729,55.14967346,0.083565839,-77.71844482,-6.628092766,446.569458,371.7329102,876.2916869999998,75.93,70.42,73.33,50.0
PEAMA010116,Peru,Amazonas,Chachapoyas,Olleros,2021-04-27,0.0,,,2.676985025,337.3001099,26.21451187,0.07771866,-77.67098236,-6.008409023,369.1666565,169.2978821,230.3095245,75.93,70.42,73.33,50.0
PEAMA010117,Peru,Amazonas,Chachapoyas,Quinjalca,2021-04-27,0.0,,,6.721318245,658.689209,55.38570404,0.084084727,-77.6855011,-6.108138084,364.4536133,95.68057251,283.2164917,75.93,70.42,73.33,50.0
PEAMA010118,Peru,Amazonas,Chachapoyas,San Francisco De Daguas,2021-04-27,0.0,,,6.731494427,309.6487427,26.03672981,0.084084727,-77.73357391,-6.232235909,119.6875,24.06928253,192.6875,75.93,70.42,73.33,50.0
