Unnamed: 0,admin0,admin1,admin2,admin3,id,date,cases,excess_deaths,expected_deaths,movement_fb,non_moving_fb,grocery_pharmacy_mobility,parks_mobility,workplaces_mobility,residential_mobility,retail_recreation_mobility,transit_mobility,accessibility,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,incidence,num_policies,household_confinement,H8_Protection of elderly people,H8_Flag,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,Date,ID,T,Tmax,Tmin,Td,Tdd,RH,SH,SM1,SM2,SM3,SM4,SP,SR,LH,PE,P,U,V,Source
477430,Peru,Amazonas,Bagua,Aramango,PE010202,2020-06-08,5,,,-0.33618000000000003,0.24828000000000003,,,,,,,379.009355509,10.2210645675659,9812.2216796875,524.709716796875,0.053475119,-78.448334,-5.380432099999999,379.00937000000005,252.38231000000002,416.82327000000004,50.956859345632296,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010202,21.9679809570313,27.6067138671875,17.9742065429688,17.5928588867188,4.3751220703125,76.2164409794641,0.0138392194889544,0.288549453020096,0.285939753055573,0.292714416980743,0.24504616856575,90361.6328125,1142298.375,-249874.65625,-0.00013807349023409199,0.816378858871758,-0.5434153079986571,-0.547747552394867,ERA5
477714,Peru,Amazonas,Bagua,Bagua,PE010201,2020-06-08,6,,,-0.33618000000000003,0.24828000000000003,,,,,,,121.714285714,159.487686157227,25039.56640625,1333.82751464844,0.053268794,-78.520981,-5.580913099999999,121.71428999999999,12.496521000000001,93.180122,23.9620762702279,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010201,22.9939514160156,28.449456787109398,18.5686279296875,15.841180419921901,7.15277099609375,64.0633173480198,0.0123545363994507,0.30890703201293895,0.290206164121628,0.28596535325050393,0.35162168741226196,90557.65625,1092114.5,-81538.390625,-0.00013687695900443898,0.33165392233058805,0.0692362263798714,-0.0798577517271042,ERA5
477998,Peru,Amazonas,Bagua,Copallin,PE010203,2020-06-08,1,,,-0.33618000000000003,0.24828000000000003,,,,,,,286.26271186400004,49.0366554260254,5933.43505859375,317.733917236328,0.05354974,-78.399757,-5.6477002999999995,287.47008999999997,156.46219,230.03419,16.8536436334909,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010203,21.8634887695313,26.8209777832031,17.4714294433594,17.181451416015598,4.682037353515621,74.73522985351059,0.0133543650076386,0.45601966977119396,0.46063151955604603,0.442686975002289,0.477113246917725,91238.078125,1069982.0,-274711.8125,-0.00011212388926651299,0.42398247751407303,0.669970452785492,0.424789428710938,ERA5
478282,Peru,Amazonas,Bagua,El Parco,PE010204,2020-06-08,0,,,-0.33618000000000003,0.24828000000000003,,,,,,,132.19047619,85.4449996948242,1965.2351074218802,104.593223571777,0.053221736,-78.473969,-5.622638200000001,132.19048,13.076906,86.571426,0.0,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010204,22.9939514160156,28.449456787109398,18.5686279296875,15.841180419921901,7.15277099609375,64.0633173480198,0.0123545363994507,0.30890703201293895,0.290206164121628,0.28596535325050393,0.35162168741226196,90557.65625,1092114.5,-81538.390625,-0.00013687695900443898,0.33165392233058805,0.0692362263798714,-0.0798577517271042,ERA5
478566,Peru,Amazonas,Bagua,Imaza,PE010205,2020-06-08,0,,,-0.33618000000000003,0.24828000000000003,,,,,,,925.5713222989999,4.519476413726809,24332.861328125,1272.29064941406,0.05228693,-78.389595,-4.9913316,925.57135,798.62482,1404.5702,0.0,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010205,22.7728942871094,28.225537109375,19.1406127929688,19.0960815429688,3.67681274414065,79.7517351212543,0.0148977808614428,0.34644148945808395,0.35028024315834,0.35487887859344497,0.374615156650543,92245.7375,1253268.2,-316398.74375,-9.82984762231354e-05,1.9228637451306,-0.155158330500126,-0.0677703350782394,ERA5
478850,Peru,Amazonas,Bagua,La Peca,PE010206,2020-06-08,0,,,-0.33618000000000003,0.24828000000000003,,,,,,,211.530487805,43.690578460693395,6946.80224609375,369.720886230469,0.053221736,-78.445412,-5.5919766,211.53049,90.44914200000001,202.4939,0.0,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010206,22.9939514160156,28.449456787109398,18.5686279296875,15.841180419921901,7.15277099609375,64.0633173480198,0.0123545363994507,0.30890703201293895,0.290206164121628,0.28596535325050393,0.35162168741226196,90557.65625,1092114.5,-81538.390625,-0.00013687695900443898,0.33165392233058805,0.0692362263798714,-0.0798577517271042,ERA5
479134,Peru,Amazonas,Bongara,Chisquilla,PE010302,2020-06-08,0,,,,,,,,,,,597.708994709,1.94769811630249,364.219573974609,27.6015357971191,0.075782679,-77.725792,-5.894847400000001,597.70898,474.134,508.98940999999996,0.0,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010302,12.9146362304688,18.5747314453125,8.73256835937502,10.7199645996094,2.19467163085938,86.51422161137079,0.0108051054486123,0.40392729640007,0.40844109654426597,0.390414416790009,0.44094577431678794,74125.953125,1404819.125,-307441.0625,-0.00011881255340995301,4.50101727619767,-0.996082246303558,-0.10321456938982,ERA5
479418,Peru,Amazonas,Bongara,Churuja,PE010303,2020-06-08,0,,,,,,,,,,,143.921052632,6.40012693405151,236.8046875,18.1709079742432,0.076733731,-77.930367,-6.0077963,143.92105,82.43085500000001,387.26315,0.0,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010303,14.542535400390598,20.315179443359398,10.3264404296875,11.973291015625,2.56924438476562,84.561692649993,0.0112632753095454,0.45168986916542103,0.45736524462699896,0.451406061649323,0.486355721950531,77267.359375,1336319.75,-299175.40625,-0.000111992238089442,3.48783284425735,-0.45271164178848294,-0.599950551986694,ERA5
479702,Peru,Amazonas,Bongara,Corosha,PE010304,2020-06-08,0,,,,,,,,,,,231.820512821,16.7952613830566,1276.43981933594,96.7759246826172,0.075817071,-77.810722,-5.817518700000001,231.82051,127.41791,244.70512000000002,0.0,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010304,16.1704040527344,21.4652954101563,11.834832763671901,13.874749755859401,2.295654296875,86.26097308420391,0.0123188398676078,0.381771385669708,0.387859433889389,0.377125889062881,0.417552500963211,80007.6015625,1412663.375,-321632.09375,-0.00011994733358733401,4.28720377385616,-0.694036304950714,-0.413795650005341,ERA5
479986,Peru,Amazonas,Bongara,Cuispes,PE010305,2020-06-08,0,,,,,,,,,,,167.392857143,8.24377918243408,939.790771484375,71.25218200683591,0.075817071,-77.914795,-5.911145200000001,167.39285,117.69046000000002,512.73212,0.0,1,IMPLEMENTED,2,1.0,199696.0,5571.0,89.81,73.96,73.81,75.0,2020-06-08,PE010305,14.542535400390598,20.315179443359398,10.3264404296875,11.973291015625,2.56924438476562,84.561692649993,0.0112632753095454,0.45168986916542103,0.45736524462699896,0.451406061649323,0.486355721950531,77267.359375,1336319.75,-299175.40625,-0.000111992238089442,3.48783284425735,-0.45271164178848294,-0.599950551986694,ERA5
