id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
CLAR13,Chile,Araucania,Lautaro,,2020-07-19,0.0,,,29.97822762,40500.58594,4997.027344,0.12338161,-72.28918457,-38.543293,36.62148285,19.99954605,143.7725983,84.72,76.82,77.08,75.0
CLAR14,Chile,Araucania,Loncoche,,2020-07-19,0.0,,,14.28406048,20926.14844,3096.348389,0.14796552,-72.58323669,-39.35591125,68.24931335,20.82598877,131.26980590000002,84.72,76.82,77.08,75.0
CLAR15,Chile,Araucania,Lonquimay,,2020-07-19,0.0,,,2.264913082,13211.23828,1552.580078,0.11751965,-71.23907471,-38.47459793,196.7447052,77.62852478,357.9336548,84.72,76.82,77.08,75.0
CLAR16,Chile,Araucania,Los Sauces,,2020-07-19,0.0,,,4.165232182,5223.200684,803.5007324,0.15383302,-72.7966156,-37.98262024,73.52388763,22.83058548,147.2380524,84.72,76.82,77.08,75.0
CLAR17,Chile,Araucania,Lumaco,,2020-07-19,0.0,,,5.5821166039999985,9171.416992,1197.753296,0.13059632,-73.04633331,-38.28694534,90.50426483,28.98503685,176.622406,84.72,76.82,77.08,75.0
CLAR18,Chile,Araucania,Melipeuco,,2020-07-19,0.0,,,3.128201962,5177.174316,847.1617432,0.163634,-71.61054993,-38.82474518,138.8239899,73.54382324,240.1338196,84.72,76.82,77.08,75.0
CLAR19,Chile,Araucania,Nueva Imperial,,2020-07-19,0.0,,,32.39596558,35214.41406,5277.548828,0.14986899,-72.97207642,-38.75127792,39.15257263,17.03615761,131.8878632,84.72,76.82,77.08,75.0
CLAR02,Chile,Araucania,Carahue,,2020-07-19,0.0,,,12.88584137,25668.5957,3560.500732,0.13871038,-73.26983643,-38.6108551,72.7671051,21.51348877,150.71327209999995,84.72,76.82,77.08,75.0
CLAR20,Chile,Araucania,Padre Las Casas,,2020-07-19,0.0,,,151.65953059999995,104341.75,10749.56738,0.10302269,-72.55552673,-38.80221939,10.95196533,7.357915877999999,66.75836945,84.72,76.82,77.08,75.0
CLAR21,Chile,Araucania,Perquenco,,2020-07-19,0.0,,,15.49137688,7621.757323999998,1102.270142,0.14462152,-72.43685913,-38.42800522,32.08924866,12.87691021,107.1744385,84.72,76.82,77.08,75.0
CLAR22,Chile,Araucania,Pitrufquen,,2020-07-19,0.0,,,29.73647118,25870.73047,4188.908203,0.16191689999999995,-72.66329193,-39.08325577,35.36571503,15.42508698,130.13256840000003,84.72,76.82,77.08,75.0
CLAR23,Chile,Araucania,Pucon,,2020-07-19,0.0,,,28.21335411,50247.98438,5340.555176,0.10628397,-71.79259491,-39.27122879,121.0905685,50.76758575,284.8114014,84.72,76.82,77.08,75.0
CLAR24,Chile,Araucania,Puren,,2020-07-19,0.0,,,14.98536968,10220.02246,1501.666138,0.14693373,-73.04976654,-38.01175308,80.07299042,13.73122787,86.89051056,84.72,76.82,77.08,75.0
CLAR25,Chile,Araucania,Renaico,,2020-07-19,0.0,,,23.29690742,9178.981445,1243.082031,0.13542701,-72.57562256,-37.71747971,40.98727798,17.80194473,111.0687027,84.72,76.82,77.08,75.0
CLAR26,Chile,Araucania,Saavedra,,2020-07-19,0.0,,,21.70776749,12438.55078,2008.1698,0.16144724,-73.29561615,-38.83259583,53.64033508,8.386505127000001,69.15798187,84.72,76.82,77.08,75.0
CLAR27,Chile,Araucania,Temuco,,2020-07-19,0.0,,,562.0284424,393419.9375,41346.55078,0.10509521,-72.66811371,-38.6733284,12.31187439,8.947868347,83.44492340000002,84.72,76.82,77.08,75.0
CLAR28,Chile,Araucania,Teodoro Schmidt,,2020-07-19,0.0,,,16.55538368,16273.94141,2403.228271,0.14767339999999998,-73.12822723,-39.005867,55.1503067,13.76992416,122.0245361,84.72,76.82,77.08,75.0
CLAR29,Chile,Araucania,Tolten,,2020-07-19,0.0,,,7.0249314310000015,9012.987305,1340.359863,0.14871427,-73.0658493,-39.21709824,82.05956268,29.98985863,174.4232025,84.72,76.82,77.08,75.0
CLAR03,Chile,Araucania,Cholchol,,2020-07-19,0.0,,,18.81982422,11950.58887,1785.848877,0.14943606,-72.90266418,-38.58281708,41.97169876,19.12910461,100.1698151,84.72,76.82,77.08,75.0
CLAR30,Chile,Araucania,Traiguen,,2020-07-19,0.0,,,12.45827293,16656.71094,2598.892334,0.15602674,-72.65493774,-38.24659729,61.71234894,19.89694405,145.39683530000005,84.72,76.82,77.08,75.0
CLAR31,Chile,Araucania,Victoria,,2020-07-19,0.0,,,17.28222084,32335.035160000003,4523.5629880000015,0.13989665,-72.23303223,-38.28050995,59.61653519,19.42678452,146.6394653,84.72,76.82,77.08,75.0
CLAR32,Chile,Araucania,Vilcun,,2020-07-19,0.0,,,12.27871513,25944.92578,3323.171387000001,0.1280856,-72.1164093,-38.70462418,61.40698624,36.93402863,194.7757263,84.72,76.82,77.08,75.0
CLAR33,Chile,Araucania,Villarrica,,2020-07-19,0.0,,,43.15925598,75615.02344,9250.546875,0.12233742,-72.18392181,-39.30121613,71.10853577,20.6857605,149.505661,84.72,76.82,77.08,75.0
CLAR04,Chile,Araucania,Collipulli,,2020-07-19,0.0,,,10.7108593,20629.11523,2634.45874,0.12770586,-72.12438202,-38.02612305,93.69371033,52.93584442,330.3525696000001,84.72,76.82,77.08,75.0
CLAR05,Chile,Araucania,Cunco,,2020-07-19,0.0,,,7.053142071,19438.46094,3078.329102,0.15836281,-71.99200439,-38.97729111,85.6836853,45.18852997,234.8904266,84.72,76.82,77.08,75.0
CLAR06,Chile,Araucania,Curacautin,,2020-07-19,0.0,,,5.664896965,13935.64746,2120.587158,0.15216997,-71.77193451,-38.42710876,97.28582764,39.57908629999999,197.2200623,84.72,76.82,77.08,75.0
CLAR07,Chile,Araucania,Curarrehue,,2020-07-19,0.0,,,5.086892128,8881.712891,1173.71875,0.13215004,-71.53938293,-39.33657837,174.96572880000005,95.20316315,510.8435059,84.72,76.82,77.08,75.0
CLAR09,Chile,Araucania,Ercilla,,2020-07-19,0.0,,,12.56835938,9288.017578,1222.815796,0.1316552,-72.35332489,-38.0823555,66.19702911,19.05264282,138.6059418,84.72,76.82,77.08,75.0
CLAT01,Chile,Atacama,Alto del Carmen,,2020-07-19,0.0,,,0.584339976,4805.027832,875.9134521,0.18229103,-70.15658569,-28.99044228,470.3667603,323.2633667,915.4360962,84.72,76.82,77.08,75.0
CLAT10,Chile,Atacama,Vallenar,,2020-07-19,0.0,,,4.702336311,45133.02344,5697.1875,0.12623101,-70.60307312,-28.5944767,203.3239746,107.9903107,564.0671997000002,84.72,76.82,77.08,75.0
CLAT02,Chile,Atacama,Caldera,,2020-07-19,0.0,,,3.305983305,15934.83887,1541.67627,0.096748784,-70.68219757,-27.14020729,114.705574,87.14608002,521.8874512,84.72,76.82,77.08,75.0
CLAT03,Chile,Atacama,Chanaral,,2020-07-19,0.0,,,1.548532248,11624.83203,1323.345093,0.11383778,-70.33740997,-26.37324524,183.4446869,89.87242126,527.1199951,84.72,76.82,77.08,75.0
CLAT04,Chile,Atacama,Copiapo,,2020-07-19,0.0,-0.36061,0.31195,9.082533836,212031.75,20828.92773,0.098234944,-69.82273102,-27.31705093,230.308075,206.3831024,1114.504883,84.72,76.82,77.08,75.0
CLAT06,Chile,Atacama,Diego de Almagro,,2020-07-19,1.0,,,0.291723371,7207.609375,434.89596560000007,0.060338449,-69.18824005,-26.23299408,753.7198486000002,466.2894287,1368.767456,84.72,76.82,77.08,75.0
CLAT07,Chile,Atacama,Freirina,,2020-07-19,0.0,,,1.468625307,6300.402344,815.7504272000001,0.12947592,-71.17906952,-28.81393433,199.2862854,101.5236206,534.177063,84.72,76.82,77.08,75.0
CLAT08,Chile,Atacama,Huasco,,2020-07-19,0.0,-0.33452,0.30156,3.715358496,7883.990723000001,994.2901001,0.12611508,-71.02958679,-28.25019836,150.1201019,87.07096863,456.0836792,84.72,76.82,77.08,75.0
CLAT09,Chile,Atacama,Tierra Amarilla,,2020-07-19,0.0,,,1.026882887,15250.2373,1235.394775,0.081008233,-69.67047882,-27.86320496,379.4674988,285.0875854,1361.592651,84.72,76.82,77.08,75.0
CLBI01,Chile,Biobio,Alto Biobio,,2020-07-19,0.0,,,4.219685078,13207.61426,1044.636108,0.07909347900000001,-71.34883118,-37.86545181,247.1528168,92.79721069,293.7244263,84.72,76.82,77.08,75.0
CLBI10,Chile,Biobio,Curanilahue,,2020-07-19,0.0,,,19.77179718,29123.85742,3487.450928,0.1197455,-73.23439789,-37.48304749,77.63629913,44.75238419,218.9490204,84.72,76.82,77.08,75.0
CLBI12,Chile,Biobio,Florida,,2020-07-19,0.0,,,10.6530056,9374.645508,1561.795288,0.1665978,-72.71765137,-36.82217789,28.63253784,22.66375923,241.0762177,84.72,76.82,77.08,75.0
CLBI13,Chile,Biobio,Hualpen,,2020-07-19,0.0,,,1190.493164,85715.50781,10582.43652,0.12346,-73.14332581,-36.78755188,3.763888836000001,5.883447647000001,49.25,84.72,76.82,77.08,75.0
CLBI14,Chile,Biobio,Hualqui,,2020-07-19,0.0,,,38.47295761,30124.32617,4054.777344,0.13460143,-72.87012482,-37.04417038,28.69211197,16.52866554,114.76081090000002,84.72,76.82,77.08,75.0
CLBI15,Chile,Biobio,Laja,,2020-07-19,0.0,,,37.2145195,18904.97461,2380.493164,0.12591888,-72.58200836,-37.31232452,39.42661285,20.15812111,135.8669281,84.72,76.82,77.08,75.0
CLBI16,Chile,Biobio,Lebu,,2020-07-19,0.0,,,31.50518036,26149.29883,3138.528076,0.12002341,-73.59059906,-37.67713547,81.0816803,27.20329857,281.6559448000001,84.72,76.82,77.08,75.0
CLBI17,Chile,Biobio,Los Alamos,,2020-07-19,0.0,,,27.44402313,24150.74023,3069.775879,0.12710898,-73.35690308,-37.673172,88.06122589,40.96068573,179.5362854,84.72,76.82,77.08,75.0
CLBI18,Chile,Biobio,Los Angeles,,2020-07-19,0.0,,,96.85555267,247272.2344,29631.40234,0.11983312,-72.32749176,-37.40747452,22.44179726,18.9435463,149.85897830000005,84.72,76.82,77.08,75.0
CLBI19,Chile,Biobio,Lota,,2020-07-19,0.0,,,260.782135,44072.17969,5376.751465,0.12199876,-73.10530853,-37.11956024,37.40588379,27.8800869,94.72940826,84.72,76.82,77.08,75.0
CLBI02,Chile,Biobio,Antuco,,2020-07-19,0.0,,,1.258183241,3566.949463000001,610.0633545,0.17103224,-71.36657715,-37.32775497,249.7215424,109.6867371,505.7949829,84.72,76.82,77.08,75.0
CLBI20,Chile,Biobio,Mulchen,,2020-07-19,0.0,,,9.822489738,27856.58008,4038.62793,0.14497931,-72.09668732,-37.83840179,112.9805756,69.93998718,295.2229004,84.72,76.82,77.08,75.0
CLBI21,Chile,Biobio,Nacimiento,,2020-07-19,0.0,,,19.76592445,26229.38281,3291.944092,0.12550597,-72.82215881,-37.48495483,55.73795319,33.89338303,198.0037689,84.72,76.82,77.08,75.0
CLBI22,Chile,Biobio,Negrete,,2020-07-19,0.0,,,40.270401,9101.110352,1250.423218,0.13739239,-72.57570648,-37.60757828,24.11790466,7.507657527999999,51.86026382,84.72,76.82,77.08,75.0
