admin0,admin1,admin2,admin3,id,date,cases,excess_deaths,expected_deaths,movement_fb,non_moving_fb,grocery_pharmacy_mobility,parks_mobility,workplaces_mobility,residential_mobility,retail_recreation_mobility,transit_mobility,accessibility,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,incidence,num_policies,household_confinement,H8_Protection of elderly people,H8_Flag,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
Chile,Araucania,Ercilla,,CLAR9,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,66.30458221020001,12.568359375,9288.017578125,1222.815795898438,0.1316552,-72.353325,-38.082355,66.197029,19.052643,138.60594,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Freire,,CLAR10,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,26.708141321,21.72203254699707,28260.365234375,3946.653076171875,0.13965329999999998,-72.58770799999998,-38.954433,26.708141,13.67764,113.49693,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Galvarino,,CLAR11,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,41.8998808105,11.36698627471924,9559.634765625,1357.082885742188,0.14195970000000002,-72.791542,-38.447956,41.880951,13.286325,102.45,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Gorbea,,CLAR12,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,51.9399806389,15.297033309936518,15832.4287109375,2561.3603515625,0.16177937,-72.66926600000002,-39.171856,51.93998,19.354,113.43079,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Lautaro,,CLAR13,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,36.6412157153,29.97822761535645,40500.5859375,4997.02734375,0.12338161,-72.289185,-38.543293,36.62148300000001,19.999546,143.7726,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Loncoche,,CLAR14,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,68.2511945392,14.28406047821045,20926.1484375,3096.348388671875,0.14796552,-72.583237,-39.355911,68.249313,20.825989,131.26981,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Lonquimay,,CLAR15,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,196.74465537900002,2.264913082122803,13211.23828125,1552.580078125,0.11751965,-71.239075,-38.474598,196.74471,77.628525,357.93365,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Los Sauces,,CLAR16,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,73.52388535029999,4.165232181549071,5223.20068359375,803.500732421875,0.15383302,-72.796616,-37.98262,73.523888,22.830585,147.23805,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Lumaco,,CLAR17,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,90.50426309379999,5.582116603851318,9171.4169921875,1197.753295898438,0.13059632,-73.04633299999998,-38.286945,90.504265,28.985037,176.62241,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
Chile,Araucania,Melipeuco,,CLAR18,2020-03-21,0.0,,,-0.4779100000000001,0.31886000000000003,,,,,,,138.800965018,3.128201961517334,5177.17431640625,847.1617431640625,0.163634,-71.61055,-38.824745,138.82398999999998,73.543823,240.13382,0.0,0.0,NOT_IMPLEMENTED,3.0,1.0,592.0,0.0,51.85,35.42,40.48,0.0
