id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,a_mean,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
CLAR19,Chile,Araucania,Nueva Imperial,,2020-05-29,1.0,,,39.1103955842,32.39596557617188,35214.4140625,5277.548828125,0.14986899,-72.972076,-38.751278000000006,39.152573,17.036158,131.88786000000002,78.24,68.49,72.92,37.5
CLAR20,Chile,Araucania,Padre Las Casas,,2020-05-29,8.0,,,10.9519650655,151.6595306396484,104341.75,10749.5673828125,0.10302269,-72.555527,-38.802219,10.951965,7.3579159,66.75836899999999,78.24,68.49,72.92,37.5
CLAR21,Chile,Araucania,Perquenco,,2020-05-29,0.0,,,32.0892494929,15.49137687683105,7621.75732421875,1102.270141601563,0.14462152,-72.436859,-38.428005,32.089249,12.87691,107.17444,78.24,68.49,72.92,37.5
CLAR22,Chile,Araucania,Pitrufquen,,2020-05-29,8.0,,,35.3657142857,29.73647117614746,25870.73046875,4188.908203125,0.16191689999999995,-72.663292,-39.083256,35.365715,15.425087,130.13257,78.24,68.49,72.92,37.5
CLAR23,Chile,Araucania,Pucon,,2020-05-29,3.0,,,121.090570059,28.21335411071777,50247.984375,5340.55517578125,0.10628397,-71.79259499999998,-39.271229,121.09057,50.767586,284.8114,78.24,68.49,72.92,37.5
CLAR24,Chile,Araucania,Puren,,2020-05-29,1.0,,,80.0729927007,14.98536968231201,10220.0224609375,1501.6661376953132,0.14693373,-73.049767,-38.01175300000001,80.07299,13.731228,86.890511,78.24,68.49,72.92,37.5
CLAR25,Chile,Araucania,Renaico,,2020-05-29,1.0,,,40.966836734699996,23.29690742492676,9178.9814453125,1243.08203125,0.13542701,-72.575623,-37.71748,40.987278,17.801945,111.0687,78.24,68.49,72.92,37.5
CLAR26,Chile,Araucania,Saavedra,,2020-05-29,2.0,,,36.775544388600004,21.70776748657227,12438.55078125,2008.1697998046882,0.16144724,-73.29561600000002,-38.832596,53.640335,8.386505099999999,69.15798199999999,78.24,68.49,72.92,37.5
CLAR27,Chile,Araucania,Temuco,,2020-05-29,12.0,,,12.308571428599999,562.0284423828125,393419.9375,41346.55078125,0.10509521,-72.668114,-38.67332800000001,12.311874,8.9478683,83.444923,78.24,68.49,72.92,37.5
CLAR28,Chile,Araucania,Teodoro Schmidt,,2020-05-29,2.0,,,34.6513761468,16.55538368225098,16273.94140625,2403.228271484375,0.14767339999999998,-73.128227,-39.005867,55.150307,13.769924,122.02454,78.24,68.49,72.92,37.5
