id,admin0,admin1,admin2,admin3,level,admin,iso2,iso1_3n,iso2_uid,iso1_3c,iso1_2c,nameid,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk
ECC0404,Ecuador,Carchi,Mira,,canton,2,C,218,EC-C,ECU,EC,"Mira, Carchi, Ecuador",19.37796782,13254.52999,1808.545212,0.13644733,-78.10479832,0.591487728,148.2253314,112.8944314,236.5022091
ECC0405,Ecuador,Carchi,Montufar,,canton,2,C,218,EC-C,ECU,EC,"Montufar, Carchi, Ecuador",73.88516344,33174.43839,3881.65427,0.11700738,-77.81526161,0.567122695,91.54666667,55.60966946,100.4666667
ECC0406,Ecuador,Carchi,San Pedro De Huaca,,canton,2,C,218,EC-C,ECU,EC,"San Pedro De Huaca, Carchi, Ecuador",99.42841203,8451.415023,862.1802127,0.10201608,-77.7143888,0.612794684,38.85882353,16.72535018,46.70588235
ECD2201,Ecuador,Orellana,Orellana,,canton,2,D,218,EC-D,ECU,EC,"Orellana, Orellana, Ecuador",14.59933326,120473.698,4050.627218,0.033622503,-76.77258036,-0.654333124,296.8894277,205.0305516,630.639064
ECD2202,Ecuador,Orellana,Aguarico,,canton,2,D,218,EC-D,ECU,EC,"Aguarico, Orellana, Ecuador",0.614316022,8015.595452,442.5049702,0.055205502,-75.8821888,-0.949666731,1160.704141,706.4361711,1327.019555
ECD2203,Ecuador,Orellana,La Joya De Los Sachas,,canton,2,D,218,EC-D,ECU,EC,"La Joya De Los Sachas, Orellana, Ecuador",44.6888721,62743.17643,3592.933147,0.057264127,-76.8914886,-0.280089967,72.22869318,44.58947651,239.8352273
ECD2204,Ecuador,Orellana,Loreto,,canton,2,D,218,EC-D,ECU,EC,"Loreto, Orellana, Ecuador",14.04593879,35255.30637,1418.514552,0.04023549,-77.35251829,-0.643543534,196.8738019,204.2220897,784.6505591
ECE0801,Ecuador,Esmeraldas,Esmeraldas,,canton,2,E,218,EC-E,ECU,EC,"Esmeraldas, Esmeraldas, Ecuador",144.8988496,227346.295,15206.84749,0.066888474,-79.62575932,0.794979095,91.05751634,74.2137807,271.3986928
ECE0802,Ecuador,Esmeraldas,Eloy Alfaro,,canton,2,E,218,EC-E,ECU,EC,"Eloy Alfaro, Esmeraldas, Ecuador",9.714879806,48593.82879,3066.263972,0.063099861,-78.95054379,0.730194109,663.620971,421.9436974,766.3237454
ECE0803,Ecuador,Esmeraldas,Muisne,,canton,2,E,218,EC-E,ECU,EC,"Muisne, Esmeraldas, Ecuador",23.43994448,33776.96,2444.272475,0.072365083,-79.9208559,0.47957047,128.3017544,84.03674151,330.3136842
ECE0804,Ecuador,Esmeraldas,Quininde,,canton,2,E,218,EC-E,ECU,EC,"Quininde, Esmeraldas, Ecuador",34.20776102,155166.404,9025.19587,0.058164626,-79.43892912,0.362069438,190.1377788,110.0334864,334.4228306
ECE0805,Ecuador,Esmeraldas,San Lorenzo,,canton,2,E,218,EC-E,ECU,EC,"San Lorenzo, Esmeraldas, Ecuador",14.99650179,52907.65831,2870.763689,0.054259889,-78.67609247,0.986996613,291.3882014,212.078016,575.7752518
ECE0806,Ecuador,Esmeraldas,Atacames,,canton,2,E,218,EC-E,ECU,EC,"Atacames, Esmeraldas, Ecuador",81.05676631,47985.60566,2787.402871,0.058088314,-79.85939036,0.78804561,41.44007156,21.86970411,104.0447227
ECE0807,Ecuador,Esmeraldas,Rioverde,,canton,2,E,218,EC-E,ECU,EC,"Rioverde, Esmeraldas, Ecuador",18.12142925,31875.59406,2323.094518,0.072880037,-79.34059503,0.852739406,280.8581355,148.0769784,368.9797336
ECF0301,Ecuador,Canar,Azogues,,canton,2,F,218,EC-F,ECU,EC,"Azogues, Canar, Ecuador",107.1149312,76694.29074,8954.346602,0.11675376,-78.74663157,-2.626490062,77.31328671,56.40114439,232.9552448
ECF0302,Ecuador,Canar,Biblian,,canton,2,F,218,EC-F,ECU,EC,"Biblian, Canar, Ecuador",84.81482399,22645.55801,3206.376971,0.14158967,-78.98091571,-2.658509739,58.36802974,26.42048797,126.1189591
ECF0303,Ecuador,Canar,Canar,,canton,2,F,218,EC-F,ECU,EC,"Canar, Canar, Ecuador",32.06827851,74173.9282,7391.612753,0.099652439,-79.06869594,-2.581554587,125.5073657,61.53878356,233.2525997
ECF0304,Ecuador,Canar,La Troncal,,canton,2,F,218,EC-F,ECU,EC,"La Troncal, Canar, Ecuador",160.3643261,59976.25797,3993.666013,0.066587448,-79.38192198,-2.448590511,58.60427807,18.64571031,101.4491979
ECF0305,Ecuador,Canar,El Tambo,,canton,2,F,218,EC-F,ECU,EC,"El Tambo, Canar, Ecuador",134.9542309,10391.47578,968.3583004,0.093187757,-78.92192923,-2.504105982,40.19230769,9.689575289,52.66666667
ECF0306,Ecuador,Canar,Deleg,,canton,2,F,218,EC-F,ECU,EC,"Deleg, Canar, Ecuador",77.68653252,7069.47446,1576.95985,0.22306606,-78.93941236,-2.762895412,28.33333333,16.30682063,54.23333333
ECF0307,Ecuador,Canar,Suscal,,canton,2,F,218,EC-F,ECU,EC,"Suscal, Canar, Ecuador",97.18269164,5345.04804,542.5236462,0.10150024,-79.06685317,-2.464231815,48.03571429,22.61205305,217.6071429
ECG0901,Ecuador,Guayas,Guayaquil,,canton,2,G,218,EC-G,ECU,EC,"Guayaquil, Guayas, Ecuador",571.9767683,2755212.093,191703.086,0.069578342,-80.15987812,-2.332294716,99.22421142,64.79277971,290.908994
ECG0902,Ecuador,Guayas,Alfredo Baquerizo Moreno,,canton,2,G,218,EC-G,ECU,EC,"Alfredo Baquerizo Moreno, Guayas, Ecuador",116.2608387,29413.99219,2239.862261,0.076149553,-79.54742291,-1.946946497,40.32684825,33.07574748,201.614786
ECG0903,Ecuador,Guayas,Balao,,canton,2,G,218,EC-G,ECU,EC,"Balao, Guayas, Ecuador",52.06284017,24677.78624,1477.595788,0.05987554,-79.73408007,-2.892595129,76.50759219,39.92577364,162.7527115
ECG0904,Ecuador,Guayas,Balzar,,canton,2,G,218,EC-G,ECU,EC,"Balzar, Guayas, Ecuador",47.01542383,65163.37742,5040.568087,0.077352777,-79.90730481,-1.290248668,64.10151188,46.45018823,181.1403888
ECG0905,Ecuador,Guayas,Colimes,,canton,2,G,218,EC-G,ECU,EC,"Colimes, Guayas, Ecuador",32.73049326,29228.33048,2766.138329,0.094638944,-80.08754466,-1.530974859,57.77097506,48.75639838,241.7437642
ECG0906,Ecuador,Guayas,Daule,,canton,2,G,218,EC-G,ECU,EC,"Daule, Guayas, Ecuador",290.2333732,159628.3553,12009.56246,0.075234517,-79.94320245,-1.900898573,11.42057762,12.61479607,88.53790614
ECG0907,Ecuador,Guayas,Duran,,canton,2,G,218,EC-G,ECU,EC,"Duran, Guayas, Ecuador",773.2200614,269080.5814,14254.73701,0.052975718,-79.77702911,-2.230851392,15.54285714,13.41818135,83.40857143
ECG0908,Ecuador,Guayas,Empalme,,canton,2,G,218,EC-G,ECU,EC,"Empalme, Guayas, Ecuador",107.2082261,89947.70172,6206.923934,0.069005921,-79.66026123,-0.987886756,25.34730539,21.53788555,114.5137725
ECG0909,Ecuador,Guayas,El Triunfo,,canton,2,G,218,EC-G,ECU,EC,"El Triunfo, Guayas, Ecuador",116.5318648,52905.46664,3759.226423,0.071055539,-79.38129526,-2.318170035,53.57582418,25.78016852,140.6637363
ECG0910,Ecuador,Guayas,Milagro,,canton,2,G,218,EC-G,ECU,EC,"Milagro, Guayas, Ecuador",428.2810323,200435.5231,15838.65194,0.079021186,-79.5601145,-2.118305282,10.2793177,10.67136096,82.445629
ECG0911,Ecuador,Guayas,Naranjal,,canton,2,G,218,EC-G,ECU,EC,"Naranjal, Guayas, Ecuador",41.05600808,83548.97645,5073.483192,0.060724661,-79.60765248,-2.53511979,102.9909729,66.87200932,240.3415246
ECG0912,Ecuador,Guayas,Naranjito,,canton,2,G,218,EC-G,ECU,EC,"Naranjito, Guayas, Ecuador",167.7677955,44458.4658,3510.473438,0.078960739,-79.39784112,-2.154070119,27.35114504,12.06288354,83.56870229
ECG0913,Ecuador,Guayas,Palestina,,canton,2,G,218,EC-G,ECU,EC,"Palestina, Guayas, Ecuador",84.28198439,19132.01046,1521.726204,0.079538226,-79.9192729,-1.6368492,33.79912664,29.99321173,153.4934498
ECG0914,Ecuador,Guayas,Pedro Carbo,,canton,2,G,218,EC-G,ECU,EC,"Pedro Carbo, Guayas, Ecuador",47.84946825,52299.4688,4234.83315,0.080972776,-80.28903464,-1.851064927,63.27838828,33.47452928,167.1849817
ECG0916,Ecuador,Guayas,Samborondon,,canton,2,G,218,EC-G,ECU,EC,"Samborondon, Guayas, Ecuador",169.8513555,71677.27203,6088.638046,0.084945172,-79.78304669,-1.982976468,32.00238095,22.23448253,97.2952381
ECG0918,Ecuador,Guayas,Santa Lucia,,canton,2,G,218,EC-G,ECU,EC,"Santa Lucia, Guayas, Ecuador",111.0756791,46318.5582,2492.67078,0.053815812,-80.03517079,-1.714514773,36.7373494,23.96374633,117.0168675
