Unnamed: 0,admin0,admin1,admin2,admin3,id,date,cases,excess_deaths,expected_deaths,movement_fb,non_moving_fb,grocery_pharmacy_mobility,parks_mobility,workplaces_mobility,residential_mobility,retail_recreation_mobility,transit_mobility,accessibility,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,incidence,num_policies,household_confinement,H8_Protection of elderly people,H8_Flag,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,Date,ID,T,Tmax,Tmin,Td,Tdd,RH,SH,SM1,SM2,SM3,SM4,SP,SR,LH,PE,P,U,V,Source
7252,Colombia,Amazonas,El Encanto (Cd),,CO091263,2020-03-05,0,,,,,,,,,,,,,,,,,,,,,,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO091263,,,,,,,,,,,,,,,,,,,
7575,Colombia,Amazonas,La Chorrera (Cd),,CO091405,2020-03-05,0,,,,,,,,,,,,,,,,,,,,,,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO091405,,,,,,,,,,,,,,,,,,,
7898,Colombia,Amazonas,La Pedrera (Cd),,CO091407,2020-03-05,0,,,,,,,,,,,,,,,,,,,,,,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO091407,,,,,,,,,,,,,,,,,,,
8221,Colombia,Amazonas,Leticia,,CO091001,2020-03-05,0,,,0.05628,0.08785,,,,,,,,,,,,,,,,,,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO091001,,,,,,,,,,,,,,,,,,,
8544,Colombia,Amazonas,Puerto Nariño,,CO091540,2020-03-05,0,,,,,,,,,,,,,,,,,,,,,,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO091540,,,,,,,,,,,,,,,,,,,
8867,Colombia,Amazonas,Puerto Santander (Cd),,CO091669,2020-03-05,0,,,,,,,,,,,,,,,,,,,,,,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO091669,,,,,,,,,,,,,,,,,,,
9190,Colombia,Amazonas,Tarapaca (Cd),,CO091798,2020-03-05,0,,,,,,,,,,,,,,,,,,,,,,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO091798,,,,,,,,,,,,,,,,,,,
9513,Colombia,Antioquia,Abejorral,,CO05002,2020-03-05,0,,,,,,,,,,,68.037037037,48.062320709228494,28549.01953125,2523.39453125,0.08838813,-75.438477,5.8037281,68.040474,29.917398,117.26307,0.0,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO05002,20.9474731445313,28.5288330078125,14.401727294921901,14.696771240234401,6.250701904296879,67.4428778090752,0.0126502056271412,0.377129912376404,0.38321310281753496,0.376027822494507,0.40017846226692205,82171.0703125,2155012.25,-406636.0,-0.00024658688926138,0.0971879562712274,-1.13644111156464,0.0338049121201038,ERA5
9836,Colombia,Antioquia,Abriaqui,,CO05004,2020-03-05,0,,,,,,,,,,,388.28285714300006,11.5401973724365,4004.44873046875,353.68771362304705,0.08832369699999999,-76.085976,6.6275692,389.49289,193.63216,377.8718,0.0,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO05004,19.8730102539063,25.982293701171898,15.028680419921901,15.9773803710938,3.8956298828125,78.24941202731391,0.0138324852481832,0.256605714559555,0.282260894775391,0.262193322181702,0.36091184616088895,81590.078125,1939692.875,-428541.8125,-0.000231047204579227,0.68638997618109,-0.144281461834908,-0.608238458633423,ERA5
10159,Colombia,Antioquia,Alejandria,,CO05021,2020-03-05,0,,,,,,,,,,,85.6578947368,34.2776603698731,5278.75927734375,466.239562988281,0.088323705,-75.090599,6.3655343,85.695366,49.401534999999996,200.37749,0.0,0,NOT_IMPLEMENTED,0,,0.0,0.0,12.04,10.94,12.5,0.0,2020-03-05,CO05021,24.278314208984398,30.2998291015625,18.8495422363281,17.450006103515598,6.82830810546875,65.6750227982223,0.0141588472709984,0.35805761814117404,0.35668894648551897,0.34590944647789,0.39465361833572404,87528.7421875,2160844.75,-394881.0,-0.000181825336767361,0.0619573256699368,-0.31571039557457,-0.152296185493469,ERA5
