Unnamed: 0,admin0,admin1,admin2,admin3,id,date,cases,excess_deaths,expected_deaths,movement_fb,non_moving_fb,grocery_pharmacy_mobility,parks_mobility,workplaces_mobility,residential_mobility,retail_recreation_mobility,transit_mobility,accessibility,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,incidence,num_policies,household_confinement,H8_Protection of elderly people,H8_Flag,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,Date,ID,T,Tmax,Tmin,Td,Tdd,RH,SH,SM1,SM2,SM3,SM4,SP,SR,LH,PE,P,U,V,Source
7298,Colombia,Amazonas,El Encanto (Cd),,CO091263,2020-04-20,0,,,,,,,,,,,,,,,,,,,,,,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO091263,,,,,,,,,,,,,,,,,,,
7621,Colombia,Amazonas,La Chorrera (Cd),,CO091405,2020-04-20,0,,,,,,,,,,,,,,,,,,,,,,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO091405,,,,,,,,,,,,,,,,,,,
7944,Colombia,Amazonas,La Pedrera (Cd),,CO091407,2020-04-20,0,,,,,,,,,,,,,,,,,,,,,,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO091407,,,,,,,,,,,,,,,,,,,
8267,Colombia,Amazonas,Leticia,,CO091001,2020-04-20,0,,,-0.32958000000000004,0.25309,,,,,,,,,,,,,,,,,,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO091001,,,,,,,,,,,,,,,,,,,
8590,Colombia,Amazonas,Puerto Nariño,,CO091540,2020-04-20,0,,,,,,,,,,,,,,,,,,,,,,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO091540,,,,,,,,,,,,,,,,,,,
8913,Colombia,Amazonas,Puerto Santander (Cd),,CO091669,2020-04-20,0,,,,,,,,,,,,,,,,,,,,,,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO091669,,,,,,,,,,,,,,,,,,,
9236,Colombia,Amazonas,Tarapaca (Cd),,CO091798,2020-04-20,0,,,,,,,,,,,,,,,,,,,,,,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO091798,,,,,,,,,,,,,,,,,,,
9559,Colombia,Antioquia,Abejorral,,CO05002,2020-04-20,0,,,-0.38681,0.41578999999999994,,,,,,,68.037037037,48.062320709228494,28549.01953125,2523.39453125,0.08838813,-75.438477,5.8037281,68.040474,29.917398,117.26307,0.0,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO05002,18.8445373535156,25.9537902832031,13.074517822265598,16.3587585449219,2.48577880859375,85.4800135396626,0.0140589609542263,0.43841829895973206,0.43869891762733504,0.44690218567848206,0.41178241372108504,82253.4375,1545541.375,-365511.65625,-0.00016369685181416598,6.44720625132322,-0.541665554046631,0.16269795596599598,ERA5
9882,Colombia,Antioquia,Abriaqui,,CO05004,2020-04-20,0,,,,,,,,,,,388.28285714300006,11.5401973724365,4004.44873046875,353.68771362304705,0.08832369699999999,-76.085976,6.6275692,389.49289,193.63216,377.8718,0.0,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO05004,18.807366943359398,25.1375061035156,14.2144409179688,16.9565673828125,1.8507995605468797,88.9976801054014,0.0147069221658068,0.39268285036087,0.37266746163368203,0.25823074579238897,0.34725347161293,81675.53125,1471757.125,-390426.4375,-0.000161426141858101,10.142778046429198,0.197867035865784,-0.280112862586975,ERA5
10205,Colombia,Antioquia,Alejandria,,CO05021,2020-04-20,0,,,,,,,,,,,85.6578947368,34.2776603698731,5278.75927734375,466.239562988281,0.088323705,-75.090599,6.3655343,85.695366,49.401534999999996,200.37749,0.0,4,IMPLEMENTED,3,1.0,3977.0,189.0,84.26,79.69,80.36,75.0,2020-04-20,CO05021,22.49013671875,29.4061828613281,17.1151977539063,18.247796630859398,4.242340087890621,76.93758359870421,0.0148774340896775,0.41557547450065596,0.41992303729057295,0.391110777854919,0.384194165468216,87594.765625,1735069.75,-419700.625,-0.00014259511954151102,1.3326898915693202,-0.15350314974784898,-0.359547555446625,ERA5
