id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,a_mean,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
COANT05086,Colombia,Antioquia,Belmira,,2020-07-30,0.0,,,106.951704545,24.984085,8794.3984,776.75378,0.08832369699999999,-75.65385400000002,6.653662700000001,106.95171,47.228329,160.01137,87.04,80.21,80.95,75.0
COANT05091,Colombia,Antioquia,Betania,,2020-07-30,0.0,,,271.041474654,72.698555,15630.19,1380.0592,0.08829446099999999,-75.98689300000002,5.727081299999999,271.04147,169.06645,281.25806,87.04,80.21,80.95,75.0
COANT05093,Colombia,Antioquia,Betulia,,2020-07-30,0.0,,,128.466019417,71.651924,21997.139,1942.8688,0.088323705,-75.95649,6.1857834,128.46602,44.74371,158.50485,87.04,80.21,80.95,75.0
COANT05101,Colombia,Antioquia,Bolivar,,2020-07-30,1.0,-0.1004,0.28698,172.68524590200002,124.71513,38412.262,3388.4885,0.08821371900000001,-76.010651,5.8409958,172.68524,51.986485,117.31475,87.04,80.21,80.95,75.0
COANT05107,Colombia,Antioquia,Briceno,,2020-07-30,0.0,,,172.77303370799999,28.126675,12375.736,1093.0708,0.08832369699999999,-75.56223299999998,7.1117883,172.77303999999995,91.191246,357.28763,87.04,80.21,80.95,75.0
COANT05113,Colombia,Antioquia,Buritica,,2020-07-30,37.0,,,163.56115107899998,23.109772,9659.8848,853.1967199999998,0.08832369699999999,-75.912064,6.8090649,163.56116,69.246948,179.94005,87.04,80.21,80.95,75.0
COANT05120,Colombia,Antioquia,Caceres,,2020-07-30,4.0,,,169.16854948,18.122417,40268.012,3556.262,0.08831481599999999,-75.223694,7.6651549,169.16855,101.01501,470.29056,87.04,80.21,80.95,75.0
COANT05125,Colombia,Antioquia,Caicedo,,2020-07-30,0.0,,,196.70042194099997,46.173958,10850.881,958.38989,0.08832369699999999,-75.993515,6.4234638,196.70042,111.15936,328.64557,87.04,80.21,80.95,75.0
COANT05129,Colombia,Antioquia,Caldas,,2020-07-30,43.0,-0.13624,0.29091,27.0700636943,591.3980700000002,92258.094,8148.5762,0.08832369699999999,-75.626427,6.0544467000000015,27.070065000000003,21.081408,84.751595,87.04,80.21,80.95,75.0
COANT05134,Colombia,Antioquia,Campamento,,2020-07-30,0.0,,,191.340163934,55.282787,13157.303999999998,1162.1017,0.08832369699999999,-75.28765899999998,7.0360174,191.34016,48.587776,144.90984,87.04,80.21,80.95,75.0
COANT05142,Colombia,Antioquia,Caracoli,,2020-07-30,2.0,,,154.305921053,22.157961,6802.4941,600.82141,0.08832369699999999,-74.733551,6.3379740999999985,154.30592,41.521729,153.61513,87.04,80.21,80.95,75.0
COANT05145,Colombia,Antioquia,Caramanta,,2020-07-30,0.0,,,67.5803571429,71.450829,7788.1401,691.3985,0.08877581400000001,-75.630821,5.5552754,67.58036,23.484552,90.303574,87.04,80.21,80.95,75.0
COANT05147,Colombia,Antioquia,Carepa,,2020-07-30,6.0,-0.12312,0.28225,95.2362030905,136.20808,61021.223,5388.9077,0.08831202199999999,-76.656685,7.789166000000002,95.646156,62.89721700000001,207.41759,87.04,80.21,80.95,75.0
COANT05148,Colombia,Antioquia,Carmen De Viboral,,2020-07-30,2.0,,,189.876767677,117.70654,58970.973,5208.5347,0.088323705,-75.263535,5.9780788000000005,190.13307,108.29163,207.6492,87.04,80.21,80.95,75.0
COANT05150,Colombia,Antioquia,Carolina,,2020-07-30,0.0,,,118.446327684,29.281479,5153.54,455.17975,0.088323705,-75.305908,6.7548213000000015,118.44633,49.236629,155.28813,87.04,80.21,80.95,75.0
COANT05154,Colombia,Antioquia,Caucasia,,2020-07-30,35.0,-0.2047,0.33671,108.896735905,72.59638199999998,122179.71,10790.307,0.088315047,-75.03501899999998,7.867941900000001,108.89674,58.62027,245.39703,87.04,80.21,80.95,75.0
COANT05172,Colombia,Antioquia,Chigorodo,,2020-07-30,2.0,-0.19172,0.30467,108.48946135799999,96.342491,81987.461,7236.2559,0.088260517,-76.639641,7.631665700000001,108.48946,81.398682,216.66862000000003,87.04,80.21,80.95,75.0
COANT05190,Colombia,Antioquia,Cisneros,,2020-07-30,0.0,-0.13606,0.26675,71.2545454545,242.58551,13099.617,1157.0067,0.088323705,-75.082542,6.5500655,71.254547,28.604813,126.61818,87.04,80.21,80.95,75.0
COANT05197,Colombia,Antioquia,Cocorna,,2020-07-30,0.0,,,76.5609756098,72.88958000000002,20919.311,1847.6709,0.08832369699999999,-75.160156,6.0055933,76.826385,43.086201,100.60764,87.04,80.21,80.95,75.0
